dt,cnt
2000-01-31 23:59:55 UTC,27101
2000-02-29 23:57:47 UTC,27944
2000-03-31 23:58:53 UTC,32333
2000-04-30 23:59:45 UTC,32875
2000-05-31 23:59:54 UTC,41438
2000-06-30 23:58:06 UTC,39079
2000-07-31 23:59:54 UTC,37226
2000-08-31 23:58:23 UTC,38427
2000-09-30 23:59:11 UTC,39181
2000-10-31 23:58:49 UTC,41282
2000-11-30 23:59:11 UTC,42966
2000-12-31 23:58:39 UTC,39893
2001-01-31 23:59:59 UTC,46693
2001-02-28 23:57:09 UTC,46108
2001-03-31 23:57:59 UTC,53302
2001-04-30 23:59:10 UTC,52801
2001-05-31 23:59:22 UTC,57786
2001-06-30 23:59:09 UTC,58791
2001-07-31 23:58:56 UTC,57876
2001-08-31 23:59:33 UTC,64401
2001-09-30 23:59:43 UTC,57005
2001-10-31 23:58:31 UTC,72590
2001-11-30 23:59:28 UTC,70218
2001-12-31 23:59:53 UTC,63481
2002-01-31 23:57:55 UTC,70372
2002-02-28 23:59:43 UTC,71169
2002-03-31 23:59:54 UTC,76262
2002-04-30 23:57:01 UTC,78020
2002-05-31 23:59:50 UTC,77847
2002-06-30 23:57:34 UTC,78125
2002-07-31 23:59:26 UTC,79697
2002-08-31 23:59:59 UTC,86062
2002-09-30 23:59:34 UTC,82491
2002-10-31 23:59:09 UTC,87802
2002-11-30 23:59:02 UTC,85390
2002-12-31 23:55:00 UTC,81489
2003-01-31 23:59:57 UTC,96633
2003-02-28 23:59:19 UTC,585124
2003-03-31 23:59:23 UTC,94026
2003-04-30 23:58:56 UTC,95254
2003-05-31 23:58:43 UTC,92897
2003-06-30 23:58:54 UTC,91988
2003-07-31 23:59:02 UTC,95264
2003-08-31 23:58:55 UTC,96126
2003-09-30 23:59:21 UTC,99817
2003-10-31 23:58:53 UTC,102093
2003-11-30 23:59:43 UTC,94462
2003-12-31 23:59:25 UTC,86918
2004-01-31 23:59:54 UTC,112486
2004-02-29 23:59:42 UTC,113404
2004-03-31 23:59:34 UTC,118216
2004-04-30 23:59:54 UTC,109392
2004-05-31 23:59:31 UTC,111590
2004-06-30 23:59:45 UTC,111953
2004-07-31 23:56:58 UTC,110411
2004-08-31 23:58:02 UTC,120804
2004-09-30 23:59:08 UTC,119807
2004-10-31 23:59:26 UTC,125878
2004-11-30 23:59:31 UTC,126291
2004-12-31 23:59:24 UTC,109977
2005-01-31 23:58:10 UTC,137550
2005-02-28 23:57:47 UTC,129873
2005-03-31 23:59:51 UTC,150955
2005-04-30 23:58:52 UTC,137101
2005-05-31 23:59:51 UTC,141094
2005-06-30 23:59:45 UTC,135408
2005-07-31 23:58:48 UTC,141439
2005-08-31 23:59:37 UTC,143359
2005-09-30 23:59:57 UTC,164347
2005-10-31 23:59:26 UTC,151467
2005-11-30 23:59:28 UTC,153335
2005-12-31 23:59:30 UTC,139454
2006-01-31 23:59:55 UTC,176990
2006-02-28 23:59:49 UTC,160173
2006-03-31 23:59:54 UTC,185931
2006-04-30 23:59:50 UTC,177511
2006-05-31 23:59:49 UTC,183223
2006-06-30 23:59:42 UTC,178377
2006-07-31 23:59:57 UTC,180141
2006-08-31 23:59:58 UTC,189304
2006-09-30 23:59:35 UTC,193499
2006-10-31 23:59:53 UTC,205508
2006-11-30 23:59:48 UTC,194731
2006-12-31 23:59:53 UTC,185669
2007-01-31 23:59:47 UTC,218626
2007-02-28 23:59:30 UTC,208182
2007-03-31 23:59:21 UTC,225012
2007-04-30 23:59:28 UTC,217474
2007-05-31 23:59:57 UTC,238451
2007-06-30 23:59:38 UTC,234605
2007-07-31 23:59:33 UTC,251485
2007-08-31 23:59:45 UTC,252288
2007-09-30 23:59:52 UTC,239199
2007-10-31 23:59:31 UTC,288101
2007-11-30 23:59:57 UTC,263300
2007-12-31 23:59:31 UTC,239798
2008-01-31 23:59:46 UTC,285870
2008-02-29 23:59:56 UTC,283185
2008-03-31 23:59:27 UTC,309334
2008-04-30 23:59:25 UTC,328066
2008-05-31 23:59:03 UTC,302693
2008-06-30 23:59:37 UTC,305501
2008-07-31 23:59:51 UTC,329881
2008-08-31 23:59:50 UTC,328317
2008-09-30 23:59:26 UTC,329014
2008-10-31 23:59:59 UTC,352786
2008-11-30 23:59:41 UTC,347595
2008-12-31 23:59:58 UTC,345603
2009-01-31 23:59:57 UTC,397654
2009-02-28 23:59:48 UTC,395430
2009-03-31 23:59:57 UTC,451833
2009-04-30 23:59:44 UTC,422592
2009-05-31 23:59:24 UTC,420412
2009-06-30 23:59:55 UTC,440632
2009-07-31 23:59:53 UTC,443079
2009-08-31 23:59:33 UTC,455385
2009-09-30 23:59:57 UTC,463570
2009-10-31 23:59:57 UTC,483560
2009-11-30 23:59:58 UTC,478589
2009-12-31 23:59:59 UTC,468024
2010-01-31 23:59:57 UTC,514847
2010-02-28 23:59:58 UTC,518710
2010-03-31 23:59:52 UTC,571389
2010-04-30 23:59:29 UTC,524678
2010-05-31 23:59:48 UTC,552289
2010-06-30 23:59:57 UTC,535702
2010-07-31 23:58:56 UTC,546621
2010-08-31 23:59:51 UTC,605395
2010-09-30 23:59:53 UTC,590632
